Dataset,Model,k,MMV Acc(%),MMV ECE(%),MMV Cov(%),SC Acc(%),SC ECE(%),SC Valid-Output(%),SC Vote Cov(%)
AG News,DeepSeek-R1:7B,1,77.74,22.26,96.6,77.74,22.26,96.6,100.0
AG News,DeepSeek-R1:7B,3,83.22,12.44,97.33,81.0,13.0,100.0,100.0
AG News,DeepSeek-R1:7B,5,84.15,10.28,94.67,80.67,10.8,100.0,100.0
AG News,LLaMA-3.2:3B,1,62.25,37.75,99.6,62.25,37.75,99.6,100.0
AG News,LLaMA-3.2:3B,3,65.31,25.48,98.0,64.4,25.23,100.0,100.0
AG News,LLaMA-3.2:3B,5,65.03,24.68,97.8,64.3,24.46,100.0,100.0
DBpedia,DeepSeek-R1:7B,1,93.36,6.64,95.33,93.36,6.64,95.33,100.0
DBpedia,DeepSeek-R1:7B,3,95.56,7.17,97.67,94.33,7.22,100.0,100.0
DBpedia,DeepSeek-R1:7B,5,94.9,4.63,98.0,94.0,4.93,100.0,100.0
GoEmotions,DeepSeek-R1:7B,1,26.19,73.81,84.0,26.19,73.81,84.0,100.0
GoEmotions,DeepSeek-R1:7B,3,31.82,44.89,58.67,25.93,33.11,99.0,100.0
GoEmotions,DeepSeek-R1:7B,5,38.12,34.62,53.33,32.0,23.2,100.0,100.0
